Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2019-01-01 00:10:00, WM05, 1.4631, 0.8424, 1.7706, 0.3007, 1.4244, 0.8338, 1.7634, 0.2993, 1.2026, 0.5331, 1.7728, 0.2727, 1.1226, 0.5194, 1.4503, 0.3084, 0.9928, 0.5382, 1.4685, 0.2475, 195.12, 193.42, 196.22, 1.266, 210.42, 210.02, 210.82, 0.296, 17.7, 17.61, 17.81, 0.05, -0.01, -0.01, -0.01, 0.0, 981.4, 981.2, 981.5, 0.0662, 89.3, 88.9, 89.8, 0.2447, 
2019-01-01 00:20:00, WM05, 1.2768, 0.8424, 1.7706, 0.2748, 1.2583, 0.8338, 1.7634, 0.2628, 1.091, 0.5331, 1.4629, 0.2529, 0.9246, 0.5194, 1.4503, 0.252, 0.9519, 0.5382, 1.4685, 0.2326, 206.62, 196.12, 218.62, 8.6, 210.72, 210.62, 210.82, 0.067, 17.76, 17.71, 17.85, 0.0286, -0.018, -0.081, -0.01, 0.018, 981.3, 981.1, 981.4, 0.055, 88.8, 88.0, 89.0, 0.29, 
2019-01-01 00:30:00, WM05, 0.8022, 0.533, 1.1518, 0.1473, 0.814, 0.5239, 1.1437, 0.1617, 0.7842, 0.5331, 1.153, 0.2027, 0.7335, 0.2091, 1.14, 0.2532, 1.0573, 0.5382, 1.4685, 0.24, 218.62, 218.62, 218.62, 0.108, 210.82, 210.82, 210.82, 0.028, 17.74, 17.68, 17.81, 0.0189, -0.015, -0.081, -0.01, 0.016, 981.1, 980.9, 981.2, 0.0704, 87.5, 87.1, 88.1, 0.2172, 
2019-01-01 00:40:00, WM05, 1.0559, 0.533, 1.4612, 0.1788, 1.0445, 0.8338, 1.4535, 0.171, 0.9763, 0.843, 1.4629, 0.1593, 0.8967, 0.5194, 1.14, 0.1589, 1.0449, 0.8483, 1.4685, 0.2084, 221.02, 218.62, 239.02, 6.307, 210.82, 210.82, 210.82, 0.028, 17.79, 17.75, 17.92, 0.0445, -0.009, -0.01, 0.062, 0.007, 981.0, 980.9, 981.1, 0.0409, 86.2, 85.5, 87.1, 0.4685, 
2019-01-01 00:50:00, WM05, 1.5745, 1.1518, 2.08, 0.1986, 1.5508, 1.1437, 2.0732, 0.1995, 1.5416, 1.153, 2.0827, 0.1996, 1.346, 0.8297, 1.7605, 0.2271, 1.4363, 0.8483, 1.7786, 0.2115, 251.72, 239.22, 255.82, 4.74, 229.02, 210.82, 249.62, 16.7, 17.86, 17.81, 18.02, 0.0389, 0.036, -0.01, 0.097, 0.031, 981.0, 980.8, 981.1, 0.0613, 84.7, 84.1, 85.5, 0.3784, 
2019-01-01 01:00:00, WM05, 2.1097, 1.7706, 2.6988, 0.1955, 2.0825, 1.7634, 2.693, 0.1952, 2.0939, 1.7728, 2.7026, 0.2027, 1.8785, 1.4503, 2.3811, 0.2066, 1.8109, 1.4685, 2.0887, 0.1619, 254.22, 252.52, 255.42, 0.623, 249.82, 249.62, 250.32, 0.3, 17.91, 17.81, 18.05, 0.0357, 0.206, -0.01, 0.276, 0.1, 980.9, 980.8, 981.0, 0.047, 84.1, 83.9, 84.5, 0.1779, 
2019-01-01 01:10:00, WM05, 3.1178, 2.3894, 3.627, 0.2723, 3.0914, 2.3831, 3.6225, 0.264, 3.0881, 2.3927, 3.6324, 0.2746, 2.9955, 2.0708, 3.6223, 0.2985, 2.6203, 2.0887, 3.0191, 0.2543, 245.92, 242.82, 252.42, 1.909, 247.92, 244.32, 250.32, 1.697, 17.89, 17.81, 17.95, 0.036, 0.375, 0.276, 0.491, 0.073, 980.9, 980.8, 981.0, 0.0576, 84.5, 84.1, 85.0, 0.2472, 
2019-01-01 01:20:00, WM05, 2.7186, 2.3894, 3.0082, 0.2129, 2.6917, 2.3831, 3.0028, 0.2181, 2.7199, 2.3927, 3.0125, 0.1946, 2.6573, 2.3811, 3.0017, 0.1514, 2.4001, 2.0887, 2.709, 0.1687, 243.82, 241.32, 246.42, 1.816, 248.42, 248.02, 251.92, 0.553, 17.84, 17.75, 17.95, 0.0322, 0.453, 0.276, 0.563, 0.097, 980.8, 980.7, 981.0, 0.0563, 84.7, 83.9, 85.1, 0.2925, 
2019-01-01 01:30:00, WM05, 3.0287, 2.3894, 3.9364, 0.4109, 2.9954, 2.3831, 3.9324, 0.4028, 2.971, 2.3927, 3.6324, 0.3353, 2.8856, 2.3811, 3.312, 0.2668, 2.2853, 1.7786, 2.709, 0.2009, 244.32, 235.92, 247.92, 3.647, 253.02, 249.72, 255.52, 1.971, 17.87, 17.81, 17.95, 0.0378, 0.592, 0.276, 0.85, 0.181, 980.8, 980.7, 981.0, 0.0513, 82.9, 82.3, 83.8, 0.376, 
2019-01-01 01:40:00, WM05, 3.1567, 2.6988, 3.9364, 0.2667, 3.1206, 2.693, 3.6225, 0.2646, 3.1439, 2.7026, 3.9423, 0.2603, 2.975, 2.6914, 3.6223, 0.2054, 2.3815, 2.0887, 2.709, 0.2028, 237.32, 232.12, 245.22, 2.097, 249.72, 248.02, 252.02, 0.641, 17.86, 17.81, 17.95, 0.0356, 0.635, 0.563, 0.85, 0.089, 980.8, 980.6, 980.9, 0.0615, 82.8, 82.2, 83.4, 0.2918, 
