Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2019-10-01 00:10:00, WM05, 3.9197, 2.6988, 4.8647, 0.5272, 3.8252, 2.693, 4.5521, 0.5218, 3.426, 2.7026, 4.2522, 0.3899, 2.3979, 1.7605, 3.312, 0.35, 1.822, 1.1584, 2.3988, 0.2797, 199.72, 183.92, 214.32, 7.101, 210.12, 196.32, 223.42, 5.003, 11.37, 11.23, 11.51, 0.0688, 0.23, 0.133, 0.384, 0.079, 991.6, 991.5, 991.7, 0.06, 99.9, 99.4, 100.0, 0.2183, 
2019-10-01 00:20:00, WM05, 3.3486, 2.6988, 4.2459, 0.2692, 3.2619, 2.693, 4.2423, 0.2615, 2.9976, 2.3927, 3.6324, 0.3068, 2.5375, 2.0708, 3.0017, 0.2476, 1.9889, 1.4685, 2.709, 0.2233, 188.82, 172.52, 206.32, 8.09, 200.72, 191.82, 216.92, 6.518, 11.37, 11.3, 11.51, 0.0277, 0.039, -0.189, 0.133, 0.11, 991.5, 991.4, 991.7, 0.0446, 100.0, 99.7, 100.0, 0.0935, 
2019-10-01 00:30:00, WM05, 3.5571, 3.0082, 4.5553, 0.2791, 3.4688, 3.0028, 4.2423, 0.2814, 2.9443, 2.3927, 3.6324, 0.2448, 2.3637, 1.7605, 2.6914, 0.198, 2.0348, 1.4685, 2.709, 0.2047, 176.32, 169.82, 186.92, 3.734, 195.72, 188.42, 200.52, 2.211, 11.37, 11.23, 11.54, 0.0549, -0.217, -0.367, -0.153, 0.061, 991.5, 991.3, 991.6, 0.0528, 98.2, 96.2, 99.7, 1.133, 
2019-10-01 00:40:00, WM05, 3.9655, 3.0082, 4.5553, 0.3212, 3.8828, 3.0028, 4.5521, 0.3154, 3.4421, 2.7026, 4.2522, 0.336, 2.7485, 2.0708, 3.6223, 0.314, 2.3009, 1.7786, 3.0191, 0.245, 172.52, 158.82, 185.22, 5.16, 186.02, 173.42, 194.92, 4.798, 11.46, 11.44, 11.61, 0.035, -0.017, -0.153, 0.133, 0.136, 991.4, 991.3, 991.6, 0.0548, 95.2, 94.6, 96.3, 0.4546, 
2019-10-01 00:50:00, WM05, 3.7644, 3.0082, 4.5553, 0.2958, 3.6833, 3.0028, 4.5521, 0.295, 3.2127, 2.3927, 3.9423, 0.2864, 2.7938, 2.0708, 3.312, 0.2693, 2.397, 1.7786, 3.0191, 0.2642, 165.12, 151.32, 176.52, 5.58, 174.62, 168.12, 184.42, 2.641, 11.46, 11.37, 11.57, 0.0294, 0.13, 0.097, 0.133, 0.01, 991.4, 991.3, 991.5, 0.0433, 95.4, 94.1, 95.8, 0.3424, 
2019-10-01 01:00:00, WM05, 3.5881, 3.3176, 3.9364, 0.1708, 3.5308, 3.3127, 3.9324, 0.1779, 3.2524, 2.7026, 3.6324, 0.2362, 2.4264, 1.7605, 3.0017, 0.2631, 1.9318, 1.4685, 2.3988, 0.1817, 153.22, 151.52, 154.92, 0.827, 162.32, 152.72, 169.22, 6.32, 11.99, 11.51, 12.32, 0.2218, 0.464, 0.133, 0.706, 0.204, 991.4, 991.3, 991.5, 0.0444, 88.0, 85.1, 94.4, 2.642, 
2019-10-01 01:10:00, WM05, 3.7106, 3.3176, 3.9364, 0.1764, 3.6461, 3.3127, 3.9324, 0.1766, 3.4929, 3.3224, 3.9423, 0.1581, 2.9477, 2.6914, 3.312, 0.1651, 2.2605, 1.7786, 2.709, 0.1662, 153.62, 151.32, 156.62, 1.985, 151.62, 149.32, 152.82, 0.626, 12.38, 12.25, 12.53, 0.0578, 0.706, 0.67, 0.742, 0.006, 991.4, 991.3, 991.5, 0.0468, 83.5, 80.4, 85.3, 1.41, 
2019-10-01 01:20:00, WM05, 3.6209, 3.0082, 4.2459, 0.3038, 3.5587, 3.0028, 4.2423, 0.2944, 3.2326, 2.7026, 3.6324, 0.1767, 2.7007, 2.3811, 3.312, 0.2066, 2.1011, 1.7786, 2.3988, 0.1675, 152.02, 142.32, 154.62, 2.866, 151.32, 149.62, 152.42, 0.805, 12.52, 12.46, 12.66, 0.0337, 0.757, 0.706, 0.778, 0.029, 991.4, 991.3, 991.5, 0.0491, 79.57, 78.24, 81.7, 0.954, 
2019-10-01 01:30:00, WM05, 3.2477, 2.3894, 3.627, 0.2995, 3.1993, 2.3831, 3.6225, 0.295, 2.9772, 2.3927, 3.3224, 0.2349, 2.6461, 2.0708, 3.0017, 0.2073, 2.1278, 1.7786, 2.709, 0.1836, 139.22, 133.32, 143.72, 2.937, 145.92, 136.82, 151.32, 4.473, 12.59, 12.46, 12.7, 0.0413, 0.558, 0.24, 0.778, 0.162, 991.3, 991.3, 991.5, 0.0425, 80.6, 78.38, 84.0, 1.676, 
2019-10-01 01:40:00, WM05, 2.7162, 2.08, 3.627, 0.2488, 2.6651, 2.0732, 3.6225, 0.2584, 2.4639, 2.0827, 3.0125, 0.1953, 2.0708, 1.4503, 2.6914, 0.2402, 1.7092, 1.1584, 2.0887, 0.196, 130.02, 122.22, 139.32, 3.155, 131.32, 125.92, 136.82, 4.405, 12.51, 12.42, 12.66, 0.0371, 0.158, 0.133, 0.276, 0.032, 991.3, 991.2, 991.5, 0.0503, 79.38, 78.35, 82.7, 1.023, 
