Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2019-11-01 00:10:00, WM05, 13.0391, 10.434, 15.075, 0.841, 13.0299, 10.4395, 15.3972, 0.8701, 12.0933, 8.9011, 14.7897, 1.073, 10.3244, 6.7251, 13.2411, 1.3057, 8.5885, 5.4999, 12.0121, 1.3843, 73.72, 63.62, 83.12, 2.894, 73.12, 53.35, 91.02, 5.756, 12.51, 12.45, 12.62, 0.0247, 0.049, -0.01, 0.205, 0.062, 988.2, 988.0, 988.5, 0.072, 81.3, 80.8, 81.8, 0.2544, 
2019-11-01 00:20:00, WM05, 12.3708, 9.8151, 14.1468, 0.7933, 12.342, 10.1296, 14.1578, 0.8044, 11.2813, 8.2812, 13.24, 0.8926, 9.4991, 6.7251, 12.3102, 1.0115, 7.7078, 4.2595, 11.0818, 1.1834, 76.22, 68.12, 84.62, 2.874, 75.92, 61.62, 96.02, 5.231, 12.41, 12.31, 12.52, 0.038, 0.154, -0.01, 0.24, 0.059, 988.1, 987.9, 988.3, 0.0792, 81.4, 81.0, 81.8, 0.1706, 
2019-11-01 00:30:00, WM05, 11.5664, 9.1963, 13.2186, 0.7902, 11.5302, 9.2, 13.8479, 0.7939, 10.5375, 8.5912, 12.9301, 0.817, 8.9095, 6.1045, 11.0691, 1.009, 7.3729, 4.5696, 10.7717, 1.1195, 78.52, 67.02, 89.12, 3.231, 78.22, 64.82, 98.42, 5.369, 12.28, 12.18, 12.45, 0.0518, 0.158, -0.01, 0.24, 0.055, 988.0, 987.8, 988.2, 0.0614, 81.8, 81.4, 82.2, 0.1716, 
2019-11-01 00:40:00, WM05, 12.0057, 10.1245, 13.8374, 0.6015, 11.964, 10.1296, 13.8479, 0.616, 10.8164, 8.2812, 12.3103, 0.7159, 8.835, 6.4148, 11.3794, 0.8762, 7.131, 4.2595, 9.8414, 1.0519, 78.82, 72.12, 86.22, 2.783, 78.22, 56.82, 97.42, 5.871, 12.24, 12.11, 12.38, 0.0351, 0.266, 0.169, 0.348, 0.035, 987.8, 987.6, 988.1, 0.0825, 81.8, 81.5, 82.2, 0.1464, 
2019-11-01 00:50:00, WM05, 12.278, 10.434, 14.1468, 0.7197, 12.2366, 10.4395, 14.1578, 0.7195, 11.0954, 9.211, 12.9301, 0.7513, 9.3067, 7.3457, 11.6897, 0.8818, 7.6024, 4.5696, 10.4616, 1.1226, 76.32, 66.02, 84.62, 2.928, 75.22, 44.28, 94.12, 5.46, 12.23, 12.18, 12.35, 0.0345, 0.332, 0.169, 0.491, 0.059, 987.7, 987.5, 987.9, 0.0815, 81.5, 81.0, 81.9, 0.2171, 
2019-11-01 01:00:00, WM05, 12.476, 10.7434, 14.1468, 0.7054, 12.4721, 10.4395, 14.1578, 0.7083, 11.4301, 9.211, 12.9301, 0.6539, 9.437, 6.7251, 11.6897, 0.9637, 7.8505, 4.8797, 11.0818, 1.1387, 74.62, 64.32, 83.02, 2.826, 74.02, 52.45, 89.82, 5.856, 12.21, 12.11, 12.35, 0.0385, 0.3, 0.133, 0.42, 0.063, 987.5, 987.2, 987.7, 0.1153, 81.5, 81.1, 82.0, 0.1983, 
2019-11-01 01:10:00, WM05, 12.8968, 11.0528, 14.1468, 0.5613, 12.8626, 11.0592, 14.1578, 0.5794, 11.6842, 9.5209, 13.24, 0.6347, 9.5611, 7.0354, 12.0, 0.8973, 7.8071, 5.4999, 10.4616, 1.0736, 76.52, 68.62, 82.62, 2.119, 75.22, 60.42, 88.12, 5.009, 12.26, 12.11, 12.45, 0.0394, 0.446, 0.312, 0.563, 0.059, 987.1, 986.9, 987.4, 0.1234, 81.1, 80.7, 81.8, 0.2452, 
2019-11-01 01:20:00, WM05, 12.8473, 11.0528, 14.7656, 0.6813, 12.8068, 11.369, 14.7775, 0.678, 11.6532, 10.4507, 14.1698, 0.6347, 9.6356, 7.0354, 11.6897, 0.7534, 7.6706, 5.1898, 10.1515, 0.9272, 79.22, 70.12, 89.32, 2.113, 78.42, 67.52, 92.42, 4.299, 12.3, 12.18, 12.42, 0.0356, 0.629, 0.563, 0.778, 0.064, 987.0, 986.8, 987.1, 0.0795, 81.4, 80.8, 82.8, 0.4571, 
2019-11-01 01:30:00, WM05, 13.8869, 11.6716, 15.6938, 0.7469, 13.8603, 11.6789, 15.3972, 0.7604, 12.8123, 9.8309, 14.7897, 0.8802, 10.7588, 7.656, 13.2411, 1.104, 8.663, 5.4999, 12.3222, 1.308, 77.92, 70.22, 84.92, 2.522, 77.72, 64.02, 93.22, 5.035, 12.28, 12.15, 12.38, 0.0349, 0.445, 0.276, 0.814, 0.145, 986.8, 986.5, 987.0, 0.104, 83.4, 81.9, 84.6, 0.5976, 
2019-11-01 01:40:00, WM05, 13.726, 11.6716, 15.6938, 0.7512, 13.7116, 11.6789, 15.3972, 0.7734, 12.583, 9.211, 15.4095, 0.9422, 10.6161, 7.9662, 13.2411, 0.8682, 8.7436, 5.81, 12.0121, 1.1337, 76.42, 69.22, 83.92, 2.806, 76.12, 60.22, 92.02, 5.249, 12.26, 12.18, 12.39, 0.0268, 0.34, 0.205, 0.455, 0.044, 986.5, 986.3, 986.7, 0.0923, 84.6, 83.5, 85.7, 0.3742, 
