Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds - use with caution
Tair,air temperature,°C,60 m,Sensor could be faulty - use with caution
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2022-05-01 00:10:00, WM05, 6.1951, 5.1662, 6.7158, 0.2752, 6.1746, 5.4873, 6.7257, 0.2817, 5.4237, 4.5621, 6.1118, 0.2889, 4.4991, 3.9325, 5.7942, 0.2836, 3.4408, 3.0191, 3.9494, 0.2016, 269.42, 264.92, 275.12, 1.712, 273.72, 266.12, 279.62, 2.254, 13.54, 13.48, 13.68, 0.0285, 0.99, 0.922, 1.209, 0.065, 992.3, 992.2, 992.4, 0.0485, 85.7, 85.2, 86.5, 0.3686, 
2022-05-01 00:20:00, WM05, 6.4679, 6.096, 6.7158, 0.1481, 6.4718, 6.1065, 6.7257, 0.1511, 5.87, 5.182, 6.6324, 0.256, 4.8528, 4.2428, 5.1737, 0.2141, 3.6002, 3.0191, 4.5057, 0.2611, 269.12, 266.32, 271.12, 1.153, 273.12, 266.72, 277.12, 2.11, 13.61, 13.55, 13.78, 0.0332, 1.285, 1.101, 1.353, 0.036, 992.3, 992.1, 992.3, 0.0558, 84.8, 84.4, 85.3, 0.1518, 
2022-05-01 00:30:00, WM05, 6.1517, 5.786, 6.4059, 0.1382, 6.156, 5.7969, 6.4161, 0.1461, 5.5043, 4.8721, 6.1118, 0.2913, 4.1795, 3.312, 4.8634, 0.3637, 3.1853, 2.709, 3.9494, 0.2419, 273.72, 270.12, 277.22, 1.872, 281.22, 275.02, 286.72, 3.277, 13.59, 13.48, 13.68, 0.0413, 1.281, 1.245, 1.317, 0.007, 992.2, 992.1, 992.3, 0.0512, 85.0, 84.8, 85.2, 0.0801, 
2022-05-01 00:40:00, WM05, 5.8976, 5.786, 6.096, 0.1475, 5.9083, 5.4873, 6.1065, 0.1554, 5.0531, 4.5621, 5.4919, 0.176, 3.621, 3.0017, 3.9325, 0.2048, 2.717, 2.0887, 3.0191, 0.2437, 276.42, 274.52, 279.62, 1.119, 285.52, 281.72, 289.12, 1.205, 13.55, 13.48, 13.68, 0.0343, 1.275, 1.209, 1.281, 0.014, 992.2, 992.1, 992.3, 0.0497, 84.4, 84.0, 85.0, 0.3373, 
2022-05-01 00:50:00, WM05, 5.9286, 5.786, 6.096, 0.1543, 5.9331, 5.7969, 6.1065, 0.1536, 5.151, 4.5621, 5.4919, 0.1705, 3.6458, 3.312, 3.9325, 0.1694, 2.3387, 1.7786, 3.0191, 0.245, 279.02, 276.92, 281.92, 1.188, 288.32, 280.02, 292.02, 2.484, 13.58, 13.48, 13.65, 0.0324, 1.429, 1.281, 1.569, 0.084, 992.2, 992.1, 992.3, 0.0341, 83.5, 83.1, 84.0, 0.2145, 
2022-05-01 01:00:00, WM05, 5.7736, 5.4761, 6.096, 0.1866, 5.7721, 5.4873, 6.1065, 0.1827, 4.6799, 4.2522, 4.8721, 0.1568, 3.4144, 3.0017, 3.9325, 0.2433, 2.5849, 2.0887, 3.0191, 0.1861, 281.92, 279.62, 285.32, 1.088, 296.72, 290.92, 304.42, 3.17, 13.38, 13.24, 13.61, 0.0709, 1.3, 1.065, 1.496, 0.071, 992.2, 992.1, 992.3, 0.0414, 84.0, 83.3, 84.6, 0.3324, 
2022-05-01 01:10:00, WM05, 5.6869, 5.1662, 6.096, 0.1643, 5.6916, 5.1776, 6.1065, 0.1709, 4.6842, 4.2522, 4.8721, 0.1692, 3.2083, 2.6914, 3.9325, 0.1887, 2.5341, 2.0887, 3.0191, 0.1842, 280.02, 277.52, 284.42, 1.564, 296.52, 289.82, 304.92, 3.489, 13.44, 13.34, 13.55, 0.0489, 1.327, 1.281, 1.353, 0.031, 992.2, 992.1, 992.3, 0.0572, 84.0, 83.6, 84.5, 0.1851, 
2022-05-01 01:20:00, WM05, 5.4327, 5.1662, 5.786, 0.1419, 5.4315, 5.1776, 5.7969, 0.1387, 4.5572, 4.2522, 4.8721, 0.1587, 3.0035, 2.6914, 3.312, 0.17, 2.1644, 1.7786, 2.3988, 0.1513, 276.52, 275.12, 278.52, 0.994, 287.52, 284.02, 290.92, 2.005, 13.51, 13.41, 13.61, 0.0379, 1.322, 1.245, 1.353, 0.034, 992.3, 992.2, 992.4, 0.0418, 83.9, 83.6, 84.2, 0.1252, 
2022-05-01 01:30:00, WM05, 5.2778, 4.8563, 5.4761, 0.2039, 5.2519, 4.868, 5.4873, 0.2025, 4.2572, 3.9423, 4.5621, 0.1798, 3.0296, 2.6914, 3.6223, 0.1793, 2.103, 1.4685, 2.3988, 0.1637, 278.02, 275.12, 281.92, 1.611, 287.32, 281.82, 298.72, 4.288, 13.5, 13.41, 13.61, 0.0421, 1.032, 0.957, 1.281, 0.065, 992.4, 992.2, 992.5, 0.0426, 84.2, 83.7, 84.6, 0.2104, 
2022-05-01 01:40:00, WM05, 4.7459, 4.2364, 5.1662, 0.2256, 4.707, 4.2488, 5.1776, 0.2365, 3.5598, 3.0125, 4.2522, 0.2839, 2.6045, 2.3811, 3.0017, 0.1936, 2.1508, 1.7786, 2.709, 0.1929, 284.52, 280.82, 288.62, 1.634, 306.32, 298.72, 310.62, 3.139, 13.29, 13.07, 13.48, 0.0931, 0.974, 0.922, 1.065, 0.033, 992.4, 992.3, 992.6, 0.0581, 84.7, 84.4, 85.3, 0.2589, 
