Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-03-01 00:10:00, WM05, 15.4154, 12.2904, 18.4785, 1.1015, 15.422, 12.9183, 18.4958, 1.1074, 14.4735, 10.7606, 18.5088, 1.2347, 12.7384, 9.2074, 16.9645, 1.4217, 10.9143, 7.0504, 15.1131, 1.5536, 84.62, 74.72, 93.92, 3.649, 82.82, 61.62, 105.62, 6.075, 15.28, 15.16, 15.43, 0.0387, -0.417, -0.474, -0.367, 0.028, 982.9, 982.6, 983.1, 0.0869, 96.5, 96.2, 96.9, 0.1369, 
2020-03-01 00:20:00, WM05, 15.4525, 12.2904, 17.8597, 1.0755, 15.4778, 12.6085, 17.8761, 1.0541, 14.7587, 12.0003, 17.8889, 1.2248, 12.937, 8.8971, 16.0337, 1.4689, 11.0322, 7.3605, 15.1131, 1.6206, 83.92, 71.12, 95.82, 3.53, 81.12, 61.02, 94.92, 5.496, 15.23, 15.02, 15.3, 0.0245, -0.419, -0.474, -0.332, 0.029, 982.8, 982.4, 983.0, 0.1005, 96.8, 96.6, 97.0, 0.0725, 
2020-03-01 00:30:00, WM05, 15.4711, 11.3622, 18.4785, 1.2364, 15.4902, 11.6789, 18.4958, 1.2438, 14.7463, 11.3805, 17.8889, 1.4009, 13.179, 9.2074, 16.6542, 1.6563, 11.2244, 7.0504, 15.4232, 1.811, 83.42, 74.12, 92.22, 3.5, 81.72, 60.42, 98.72, 5.329, 15.23, 15.16, 15.36, 0.0196, -0.393, -0.439, -0.332, 0.029, 982.7, 982.4, 982.9, 0.1033, 96.8, 96.7, 97.1, 0.084, 
2020-03-01 00:40:00, WM05, 15.1122, 11.3622, 18.1691, 1.185, 15.1121, 11.369, 17.8761, 1.1756, 14.1202, 10.7606, 17.2691, 1.4554, 12.5212, 7.656, 15.7234, 1.6737, 10.6042, 5.81, 14.1828, 1.6312, 83.62, 74.72, 92.72, 3.657, 81.82, 63.62, 97.42, 5.196, 15.23, 15.13, 15.3, 0.0218, -0.422, -0.474, -0.332, 0.028, 982.6, 982.3, 982.8, 0.0899, 96.9, 96.7, 97.1, 0.0872, 
2020-03-01 00:50:00, WM05, 15.4339, 11.981, 17.8597, 1.0408, 15.4468, 11.6789, 18.186, 1.0789, 14.6471, 10.7606, 17.579, 1.2794, 13.0673, 9.2074, 16.6542, 1.4645, 11.1624, 7.0504, 15.1131, 1.602, 83.42, 71.42, 92.22, 3.608, 81.32, 59.62, 100.72, 6.174, 15.2, 15.09, 15.3, 0.0311, -0.439, -0.474, -0.403, 0.008, 982.5, 982.2, 982.7, 0.1053, 97.2, 97.1, 97.3, 0.0436, 
2020-03-01 01:00:00, WM05, 15.9352, 13.2186, 18.7879, 0.9121, 15.9674, 13.2282, 18.8057, 0.9395, 14.988, 11.6904, 17.8889, 1.2409, 13.0922, 8.2765, 16.9645, 1.6662, 11.0508, 6.4302, 15.4232, 1.7409, 83.72, 72.02, 90.92, 3.287, 81.62, 55.72, 102.02, 5.935, 15.2, 15.09, 15.33, 0.0369, -0.44, -0.474, -0.439, 0.007, 982.4, 982.2, 982.7, 0.1055, 97.1, 97.1, 97.3, 0.0307, 
2020-03-01 01:10:00, WM05, 15.7495, 12.5998, 18.4785, 1.0192, 15.7876, 12.9183, 18.4958, 1.025, 14.8764, 11.0706, 17.579, 1.218, 12.8439, 8.2765, 16.6542, 1.5762, 10.7779, 7.0504, 14.8031, 1.535, 84.12, 74.12, 93.82, 3.215, 81.82, 63.22, 100.82, 6.191, 15.17, 15.09, 15.26, 0.027, -0.44, -0.474, -0.403, 0.007, 982.4, 982.1, 982.6, 0.0896, 97.3, 97.1, 97.4, 0.0678, 
2020-03-01 01:20:00, WM05, 14.8275, 11.6716, 17.5503, 1.1219, 14.8271, 10.7493, 17.8761, 1.1446, 14.0458, 10.7606, 17.579, 1.2273, 12.2358, 8.2765, 15.1028, 1.4602, 10.3499, 6.4302, 14.4929, 1.5499, 84.12, 73.82, 93.62, 3.278, 81.42, 58.92, 99.02, 6.004, 15.12, 15.02, 15.23, 0.0352, -0.44, -0.474, -0.403, 0.007, 982.4, 982.1, 982.6, 0.0785, 97.5, 97.2, 97.8, 0.1171, 
2020-03-01 01:30:00, WM05, 14.8584, 11.3622, 18.4785, 1.1733, 14.8457, 11.6789, 18.4958, 1.2023, 14.0024, 9.5209, 17.2691, 1.3345, 12.062, 8.8971, 15.7234, 1.5731, 10.1019, 6.4302, 14.4929, 1.7248, 84.12, 74.12, 94.22, 3.799, 82.02, 67.52, 102.52, 6.317, 15.05, 14.96, 15.16, 0.0318, -0.441, -0.474, -0.403, 0.011, 982.3, 982.0, 982.5, 0.1054, 97.9, 97.7, 98.1, 0.0867, 
2020-03-01 01:40:00, WM05, 14.7037, 11.6716, 17.2409, 1.0693, 14.7341, 11.369, 17.2564, 1.0839, 13.9901, 11.0706, 16.6492, 1.1213, 12.4157, 8.5868, 16.3439, 1.4174, 10.5608, 6.1201, 15.1131, 1.7081, 83.42, 73.12, 95.62, 3.344, 81.52, 66.72, 108.12, 5.972, 14.99, 14.89, 15.09, 0.032, -0.432, -0.474, -0.367, 0.018, 982.2, 981.8, 982.4, 0.0924, 98.1, 97.9, 98.3, 0.0805, 
