Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-07-01 00:10:00, WM05, 2.3412, 2.08, 2.6988, 0.1887, 2.3781, 2.0732, 2.693, 0.1741, 2.6716, 2.0827, 3.3224, 0.2169, 4.0051, 3.0017, 4.8634, 0.3419, 3.3707, 2.709, 4.2595, 0.3541, 46.93, 38.92, 53.89, 6.867, 6.15, 354.59, 12.52, 2.914, 19.05, 18.94, 19.18, 0.0456, 2.598, 2.252, 3.156, 0.338, 986.4, 986.3, 986.5, 0.0516, 39.08, 37.21, 41.29, 1.003, 
2020-07-01 00:20:00, WM05, 2.3133, 1.7706, 2.6988, 0.1652, 2.3596, 2.0732, 2.693, 0.1469, 2.7435, 2.3927, 3.0404, 0.1946, 4.3731, 3.9325, 4.8634, 0.2073, 3.6083, 2.709, 4.5696, 0.3833, 37.27, 34.64, 39.29, 1.574, 6.21, 1.27, 14.13, 2.411, 19.15, 19.05, 19.22, 0.0516, 3.152, 3.011, 3.265, 0.029, 986.3, 986.1, 986.4, 0.0567, 40.16, 39.12, 41.43, 0.6852, 
2020-07-01 00:30:00, WM05, 1.9761, 1.4612, 2.3894, 0.2209, 2.0689, 1.7634, 2.693, 0.2039, 2.7788, 2.3927, 3.3224, 0.2343, 4.2596, 3.9325, 4.8634, 0.2259, 3.5915, 2.3988, 4.5696, 0.4081, 33.43, 32.27, 35.09, 1.247, 9.61, 3.03, 14.23, 1.769, 19.11, 18.95, 19.22, 0.0635, 2.896, 2.758, 3.156, 0.087, 986.2, 986.1, 986.3, 0.0402, 42.01, 40.81, 43.26, 0.6583, 
2020-07-01 00:40:00, WM05, 2.1555, 1.7706, 2.3894, 0.1528, 2.248, 2.0732, 2.693, 0.1617, 2.989, 2.7026, 3.3224, 0.1711, 4.55, 3.6223, 5.1737, 0.2768, 3.0606, 2.0887, 3.9494, 0.3529, 23.39, 18.54, 32.27, 4.783, 2.89, 354.52, 9.19, 1.481, 18.92, 18.91, 19.05, 0.0243, 2.757, 2.577, 2.866, 0.076, 986.2, 986.1, 986.3, 0.0392, 43.02, 42.51, 43.3, 0.1784, 
2020-07-01 00:50:00, WM05, 2.0689, 1.4612, 2.6988, 0.2506, 2.222, 1.4535, 2.693, 0.2671, 2.9394, 2.3927, 3.3224, 0.2417, 4.3359, 3.312, 5.1737, 0.3463, 2.9707, 1.7786, 4.2595, 0.382, 14.45, 1.15, 18.54, 3.419, 2.8, 354.05, 8.56, 1.687, 18.97, 18.84, 19.15, 0.0427, 2.623, 2.577, 2.866, 0.093, 986.2, 986.1, 986.3, 0.0402, 42.13, 41.56, 42.58, 0.2503, 
2020-07-01 01:00:00, WM05, 1.5447, 0.533, 2.3894, 0.5012, 1.5973, 0.5239, 2.693, 0.567, 2.3536, 1.4629, 3.3224, 0.4692, 3.4535, 2.3811, 4.5531, 0.5771, 2.6066, 1.7786, 3.6393, 0.4131, 1.61, 357.29, 11.18, 4.953, 9.15, 1.68, 13.59, 2.692, 19.07, 18.98, 19.25, 0.0532, 2.857, 2.577, 3.011, 0.127, 986.2, 986.0, 986.3, 0.064, 41.38, 41.15, 41.7, 0.1365, 
2020-07-01 01:10:00, WM05, 0.6673, 0.2236, 0.8424, 0.1906, 0.8759, 0.5239, 1.1437, 0.1357, 1.0879, 0.5331, 1.7728, 0.2628, 2.1031, 1.7605, 2.6914, 0.2178, 2.3325, 1.4685, 2.709, 0.1978, 357.3, 357.29, 357.52, 0.088, 11.72, 10.22, 12.91, 0.82, 19.22, 19.11, 19.35, 0.0381, 2.276, 2.144, 2.577, 0.092, 986.0, 985.9, 986.2, 0.0552, 41.11, 40.88, 41.29, 0.0954, 
2020-07-01 01:20:00, WM05, 1.0144, 0.533, 1.4612, 0.1696, 1.1356, 0.8338, 1.4535, 0.1382, 1.0631, 0.5331, 1.4629, 0.1754, 1.4087, 0.8297, 2.3811, 0.3469, 1.8642, 1.1584, 2.709, 0.3628, 357.29, 357.29, 357.32, 0.077, 355.42, 337.695, 10.46, 10.39, 19.27, 19.21, 19.39, 0.029, 2.113, 1.712, 2.289, 0.185, 985.9, 985.8, 986.1, 0.0479, 41.0, 40.88, 41.15, 0.0631, 
2020-07-01 01:30:00, WM05, 0.8486, 0.533, 1.4612, 0.1448, 0.9608, 0.5239, 1.4535, 0.1568, 1.0395, 0.843, 1.4629, 0.1692, 1.1542, 0.8297, 1.4503, 0.1769, 1.515, 0.8483, 2.0887, 0.3535, 357.3, 357.29, 357.49, 0.071, 341.862, 337.695, 351.1, 3.174, 19.28, 19.25, 19.38, 0.0349, 1.787, 1.64, 2.0, 0.124, 985.8, 985.7, 985.9, 0.0504, 40.72, 39.11, 41.12, 0.3814, 
2020-07-01 01:40:00, WM05, 1.3065, 0.8424, 1.7706, 0.2178, 1.2955, 0.8338, 1.7634, 0.2002, 1.0804, 0.843, 1.153, 0.1308, 1.0283, 0.8297, 1.14, 0.1489, 1.3581, 0.8483, 1.7786, 0.1706, 264.22, 357.29, 278.12, 37.74, 343.28, 343.27, 343.32, 0.04, 19.46, 19.32, 19.59, 0.0613, 1.821, 1.64, 2.0, 0.107, 985.7, 985.6, 985.9, 0.0578, 39.12, 38.16, 40.3, 0.5322, 
