Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-06-01 00:10:00, WM05, 3.1091, 2.3894, 3.9364, 0.4004, 3.0821, 2.3831, 3.9324, 0.3972, 2.8916, 2.0827, 3.6324, 0.3248, 2.3966, 2.0708, 2.6914, 0.1738, 2.121, 1.7786, 2.3988, 0.152, 256.22, 242.32, 271.22, 7.112, 268.52, 253.82, 273.52, 3.82, 16.58, 15.65, 17.14, 0.5299, 1.577, 0.706, 2.289, 0.521, 986.4, 986.2, 986.5, 0.0392, 68.57, 60.41, 79.59, 6.664, 
2020-06-01 00:20:00, WM05, 2.778, 2.3894, 3.627, 0.284, 2.7487, 2.3831, 3.3127, 0.2665, 2.6369, 2.3927, 3.1352, 0.1488, 2.3141, 2.0708, 2.6914, 0.1669, 2.1179, 1.7786, 2.3988, 0.1222, 264.72, 254.62, 270.72, 4.811, 272.62, 271.82, 273.42, 0.464, 15.4, 15.24, 15.65, 0.1154, 0.826, 0.563, 1.424, 0.244, 986.3, 986.2, 986.4, 0.048, 78.12, 67.69, 81.7, 4.745, 
2020-06-01 00:30:00, WM05, 3.1339, 3.0082, 3.627, 0.1559, 3.0958, 2.693, 3.6225, 0.1549, 2.6003, 2.3927, 3.0125, 0.1624, 2.3519, 2.0708, 2.6914, 0.1638, 2.067, 1.7786, 2.3988, 0.1495, 248.12, 245.12, 254.82, 2.128, 271.92, 271.82, 272.32, 0.13, 15.82, 15.65, 15.92, 0.0519, 1.427, 1.353, 1.496, 0.016, 986.4, 986.3, 986.5, 0.0355, 69.27, 67.28, 70.48, 0.836, 
2020-06-01 00:40:00, WM05, 3.002, 2.6988, 3.3176, 0.1714, 2.9768, 2.693, 3.3127, 0.1686, 2.6902, 2.3927, 3.0125, 0.1593, 2.3954, 2.0708, 2.6914, 0.1005, 2.1334, 1.7786, 2.3988, 0.165, 248.02, 244.52, 250.72, 2.003, 272.52, 270.72, 273.42, 0.78, 15.71, 15.58, 15.88, 0.0711, 1.339, 1.173, 1.424, 0.069, 986.4, 986.3, 986.5, 0.046, 72.44, 70.34, 75.1, 1.371, 
2020-06-01 00:50:00, WM05, 3.2787, 2.6988, 3.627, 0.2321, 3.2117, 2.693, 3.6225, 0.2144, 2.6499, 2.3927, 3.0125, 0.168, 2.2738, 2.0708, 2.6914, 0.1564, 2.1973, 1.7786, 2.3988, 0.1681, 259.42, 249.72, 262.72, 4.006, 280.82, 270.72, 286.52, 5.861, 15.67, 15.44, 15.92, 0.1431, 1.343, 1.209, 1.424, 0.076, 986.4, 986.3, 986.5, 0.0483, 72.06, 70.31, 76.05, 1.892, 
2020-06-01 01:00:00, WM05, 3.6041, 3.3176, 3.9364, 0.1733, 3.5401, 3.0028, 3.9324, 0.1865, 2.4441, 2.0827, 2.7026, 0.1872, 2.1869, 2.0708, 2.3811, 0.1502, 2.1092, 1.7786, 2.3988, 0.1885, 267.12, 262.12, 279.52, 4.762, 297.32, 286.52, 311.82, 8.39, 16.05, 15.88, 16.4, 0.125, 1.388, 1.28, 1.712, 0.102, 986.4, 986.3, 986.6, 0.0521, 69.07, 68.1, 71.05, 0.843, 
2020-06-01 01:10:00, WM05, 3.1796, 2.6988, 3.627, 0.1714, 3.2092, 3.0028, 3.6225, 0.181, 2.5805, 1.7728, 3.3224, 0.3229, 1.8648, 1.4503, 2.3811, 0.211, 1.7941, 1.4685, 2.0887, 0.1681, 283.22, 279.32, 290.72, 3.09, 299.82, 281.92, 312.02, 8.28, 16.76, 16.43, 16.87, 0.1203, 1.953, 1.748, 2.036, 0.065, 986.4, 986.3, 986.5, 0.0476, 70.05, 68.71, 71.16, 0.6241, 
2020-06-01 01:20:00, WM05, 3.6097, 2.6988, 4.5553, 0.4561, 3.6163, 2.693, 4.5521, 0.4288, 2.7956, 1.7728, 3.6324, 0.3564, 2.0007, 1.4503, 2.3811, 0.1967, 1.7768, 1.4685, 2.0887, 0.1699, 274.82, 255.12, 292.22, 11.45, 286.42, 272.32, 307.72, 11.01, 16.65, 16.26, 16.91, 0.1541, 1.319, 0.85, 1.82, 0.245, 986.4, 986.3, 986.6, 0.0633, 67.83, 65.78, 72.25, 1.544, 
2020-06-01 01:30:00, WM05, 3.3826, 2.6988, 4.2459, 0.2673, 3.3604, 2.693, 4.2423, 0.2659, 3.0993, 2.3927, 3.6324, 0.2455, 2.6355, 2.0708, 3.312, 0.2774, 2.3356, 1.7786, 2.709, 0.2227, 255.32, 246.02, 260.92, 2.318, 269.22, 263.92, 273.92, 2.539, 15.43, 14.97, 16.26, 0.3778, 0.342, -0.01, 0.85, 0.23, 986.5, 986.4, 986.7, 0.0405, 81.2, 72.18, 85.5, 3.955, 
2020-06-01 01:40:00, WM05, 3.2477, 2.6988, 3.627, 0.1541, 3.2055, 2.693, 3.6225, 0.1661, 2.8526, 2.3927, 3.3224, 0.1723, 2.6871, 2.3811, 3.312, 0.1582, 2.526, 2.0887, 2.709, 0.1935, 250.22, 244.12, 256.42, 4.397, 251.12, 240.82, 266.02, 8.79, 14.9, 14.83, 15.0, 0.0416, 0.059, -0.01, 0.169, 0.049, 986.6, 986.4, 986.7, 0.0484, 85.7, 84.6, 86.3, 0.3232, 
