Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-02-01 00:10:00, WM05, 3.8603, 3.3176, 4.2459, 0.1974, 3.8196, 3.3127, 4.2423, 0.1872, 3.3894, 3.0125, 3.9423, 0.2107, 2.5642, 2.0708, 3.0017, 0.2153, 2.0373, 1.4685, 2.709, 0.2357, 125.02, 118.02, 130.22, 4.385, 125.42, 114.62, 136.72, 3.852, 16.96, 16.9, 17.07, 0.0313, -0.118, -0.296, -0.01, 0.067, 985.3, 985.2, 985.5, 0.0555, 98.9, 98.6, 99.1, 0.128, 
2020-02-01 00:20:00, WM05, 3.9996, 3.3176, 4.8647, 0.2679, 3.9411, 3.0028, 4.862, 0.2677, 3.5152, 2.7026, 4.5621, 0.2963, 2.6765, 1.7605, 3.312, 0.2973, 2.059, 1.4685, 2.709, 0.3374, 136.62, 130.02, 146.22, 4.769, 136.92, 120.52, 151.92, 5.995, 16.95, 16.86, 17.07, 0.0328, -0.254, -0.296, -0.081, 0.061, 985.3, 985.2, 985.5, 0.0575, 99.3, 99.0, 99.4, 0.1101, 
2020-02-01 00:30:00, WM05, 4.0367, 2.6988, 5.1741, 0.508, 3.9745, 2.3831, 5.1718, 0.5212, 3.6063, 2.3927, 4.8721, 0.5002, 2.9582, 2.0708, 4.2428, 0.4505, 2.4658, 1.4685, 3.6393, 0.4528, 139.12, 126.92, 151.82, 5.943, 138.72, 113.82, 160.22, 7.47, 16.88, 16.79, 17.0, 0.0404, -0.296, -0.296, -0.296, 0.0, 985.4, 985.2, 985.5, 0.056, 99.4, 99.3, 99.6, 0.065, 
2020-02-01 00:40:00, WM05, 4.7428, 3.627, 5.7929, 0.4839, 4.6854, 3.3127, 6.1014, 0.4871, 4.3526, 2.3927, 5.8018, 0.5901, 3.7309, 1.7605, 5.1737, 0.5951, 3.0953, 1.7786, 4.5696, 0.5973, 133.02, 122.12, 143.12, 3.774, 135.22, 117.62, 153.22, 6.609, 16.8, 16.73, 16.93, 0.0344, -0.356, -0.439, -0.296, 0.047, 985.2, 985.1, 985.3, 0.0605, 99.4, 99.3, 99.5, 0.0536, 
2020-02-01 00:50:00, WM05, 4.9494, 3.627, 6.1023, 0.401, 4.8756, 3.6225, 5.7916, 0.3898, 4.3966, 3.3224, 5.4919, 0.4097, 3.7668, 2.3811, 4.8634, 0.4927, 3.1443, 2.0887, 4.2595, 0.4993, 130.32, 119.42, 140.02, 4.175, 129.92, 112.82, 152.02, 6.651, 16.72, 16.59, 16.86, 0.036, -0.389, -0.439, -0.332, 0.03, 985.2, 985.0, 985.3, 0.0459, 99.3, 99.0, 99.4, 0.0834, 
2020-02-01 01:00:00, WM05, 4.585, 3.9364, 5.4835, 0.3113, 4.5366, 3.9324, 5.4817, 0.313, 4.1797, 3.3224, 5.4919, 0.3701, 3.4379, 2.3811, 4.5531, 0.4623, 2.9198, 1.7786, 3.9494, 0.4087, 122.82, 108.32, 132.02, 2.706, 121.32, 107.52, 137.92, 5.743, 16.64, 16.59, 16.76, 0.0335, -0.341, -0.439, -0.296, 0.031, 985.2, 985.0, 985.3, 0.0622, 98.9, 98.6, 99.2, 0.1249, 
2020-02-01 01:10:00, WM05, 4.2168, 3.3176, 5.1741, 0.4022, 4.1567, 3.3127, 5.1718, 0.3991, 3.6727, 2.7026, 4.5621, 0.4017, 2.9998, 2.0708, 3.9325, 0.4313, 2.5216, 1.4685, 3.6393, 0.4354, 118.92, 114.22, 123.52, 1.417, 119.22, 102.62, 129.52, 4.839, 16.6, 16.55, 16.66, 0.0209, -0.3, -0.367, -0.296, 0.014, 985.1, 985.0, 985.3, 0.0591, 98.6, 98.2, 98.8, 0.1111, 
2020-02-01 01:20:00, WM05, 4.6481, 3.627, 5.1741, 0.2376, 4.6005, 3.9324, 5.1718, 0.2355, 4.2057, 3.3224, 4.8721, 0.2975, 3.3697, 2.3811, 4.2428, 0.3289, 2.5496, 1.7786, 3.6393, 0.3473, 112.32, 102.32, 120.62, 5.696, 116.22, 99.62, 133.22, 6.843, 16.6, 16.52, 16.79, 0.0279, -0.229, -0.296, -0.046, 0.088, 985.0, 984.9, 985.2, 0.0596, 98.3, 98.1, 98.5, 0.1005, 
2020-02-01 01:30:00, WM05, 4.9451, 4.2459, 6.1023, 0.367, 4.9054, 4.2423, 5.7916, 0.3458, 4.6037, 3.9423, 5.4919, 0.2672, 3.8351, 2.6914, 4.5531, 0.3196, 2.8069, 1.7786, 3.9494, 0.4131, 108.42, 102.32, 118.32, 3.773, 113.12, 100.52, 125.42, 3.915, 16.6, 16.52, 16.73, 0.0269, -0.055, -0.081, -0.01, 0.03, 985.0, 984.9, 985.2, 0.0605, 98.2, 97.6, 98.5, 0.1993, 
2020-02-01 01:40:00, WM05, 5.5825, 4.8647, 6.4117, 0.3014, 5.5003, 4.5521, 6.4113, 0.3055, 5.0066, 4.2522, 5.8018, 0.295, 4.1808, 3.0017, 4.8634, 0.3184, 3.2126, 2.0887, 4.2595, 0.4118, 113.22, 107.52, 118.62, 1.992, 115.52, 104.32, 127.32, 3.897, 16.61, 16.52, 16.69, 0.0312, -0.048, -0.117, -0.01, 0.034, 984.9, 984.8, 985.0, 0.0398, 97.4, 97.3, 97.7, 0.128, 
