Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-04-01 00:10:00, WM05, 8.658, 7.3399, 9.5057, 0.4202, 8.5121, 7.3409, 9.5099, 0.4084, 7.587, 6.4217, 8.9011, 0.4853, 5.8997, 3.9325, 7.656, 0.7012, 4.6955, 2.709, 7.0504, 0.7827, 150.72, 143.72, 160.42, 2.418, 150.32, 131.72, 167.32, 5.796, 14.96, 14.83, 15.03, 0.0242, 0.295, 0.276, 0.348, 0.028, 990.7, 990.5, 990.8, 0.0444, 73.74, 73.06, 74.35, 0.3241, 
2020-04-01 00:20:00, WM05, 8.9364, 7.6493, 9.8151, 0.3911, 8.7724, 7.6507, 9.5099, 0.4003, 7.8721, 6.4217, 9.211, 0.4773, 6.0239, 3.312, 7.9662, 0.7199, 4.6527, 2.709, 6.7403, 0.7691, 152.02, 144.52, 158.52, 2.19, 150.32, 133.92, 168.12, 6.114, 15.0, 14.93, 15.17, 0.0525, 0.343, 0.276, 0.455, 0.04, 990.7, 990.6, 990.9, 0.0508, 73.01, 70.95, 74.18, 0.981, 
2020-04-01 00:30:00, WM05, 8.5775, 7.3399, 9.5057, 0.409, 8.4254, 7.031, 9.2, 0.4053, 7.4816, 6.4217, 8.5912, 0.4667, 5.6701, 4.2428, 7.3457, 0.6615, 4.453, 2.709, 6.7403, 0.686, 153.92, 147.92, 164.12, 2.104, 152.52, 132.92, 171.42, 5.796, 15.08, 15.0, 15.17, 0.0323, 0.384, 0.276, 0.491, 0.051, 990.8, 990.7, 990.9, 0.0465, 71.91, 70.78, 73.4, 0.4825, 
2020-04-01 00:40:00, WM05, 8.5899, 7.3399, 9.5057, 0.4462, 8.4316, 7.031, 9.2, 0.4357, 7.2461, 5.8018, 8.5912, 0.5696, 5.4033, 3.6223, 7.3457, 0.7025, 4.2266, 2.3988, 6.1201, 0.7362, 154.82, 148.62, 161.12, 1.847, 152.62, 127.22, 172.92, 6.53, 15.04, 14.93, 15.24, 0.0546, 0.443, 0.276, 0.563, 0.082, 990.7, 990.6, 990.9, 0.05, 73.36, 72.38, 74.76, 0.6309, 
2020-04-01 00:50:00, WM05, 8.1134, 7.0305, 9.1963, 0.3521, 7.9482, 7.031, 8.8902, 0.3346, 6.7936, 5.8018, 7.6614, 0.4153, 5.0043, 3.6223, 6.4148, 0.5765, 3.9072, 2.0887, 5.4999, 0.6264, 152.72, 145.12, 158.42, 1.757, 148.42, 131.02, 167.12, 5.827, 14.92, 14.83, 15.1, 0.0362, 0.406, 0.312, 0.563, 0.059, 990.8, 990.7, 990.9, 0.0502, 74.91, 73.5, 75.78, 0.5414, 
2020-04-01 01:00:00, WM05, 7.8535, 6.4117, 8.8869, 0.3799, 7.7065, 6.4113, 8.5803, 0.3954, 6.4465, 4.8721, 7.6614, 0.5765, 4.7194, 2.6914, 6.4148, 0.6628, 3.6579, 2.0887, 5.1898, 0.6481, 150.22, 142.32, 159.42, 2.684, 144.62, 124.62, 171.92, 7.103, 14.97, 14.9, 15.07, 0.03, 0.388, 0.276, 0.563, 0.076, 990.9, 990.7, 991.0, 0.048, 74.37, 73.06, 74.97, 0.4082, 
2020-04-01 01:10:00, WM05, 7.8411, 6.7211, 8.5775, 0.328, 7.6941, 6.4113, 8.2704, 0.3421, 6.4899, 5.182, 7.6614, 0.4674, 4.8553, 3.0017, 6.1045, 0.5542, 3.7602, 2.0887, 5.4999, 0.5973, 149.52, 143.92, 159.42, 1.9, 144.22, 126.82, 157.22, 6.056, 15.02, 14.9, 15.17, 0.0497, 0.344, 0.205, 0.455, 0.046, 990.9, 990.8, 991.0, 0.0399, 75.06, 73.74, 76.9, 0.866, 
2020-04-01 01:20:00, WM05, 7.21, 5.7929, 8.2681, 0.4579, 7.0682, 5.4817, 8.2704, 0.4561, 5.8514, 4.5621, 7.0415, 0.4909, 4.2317, 3.0017, 5.7942, 0.5182, 3.2888, 2.0887, 4.8797, 0.5545, 150.32, 138.02, 158.92, 2.602, 145.02, 128.12, 161.42, 5.952, 14.86, 14.76, 14.97, 0.0383, 0.278, 0.276, 0.348, 0.011, 990.9, 990.8, 991.1, 0.054, 76.7, 75.92, 77.28, 0.3171, 
2020-04-01 01:30:00, WM05, 7.08, 5.7929, 8.2681, 0.4932, 6.9566, 5.7916, 8.2704, 0.4914, 5.9196, 4.5621, 7.3515, 0.5108, 4.4178, 3.0017, 6.4148, 0.6156, 3.411, 2.0887, 4.8797, 0.6252, 148.22, 139.42, 154.62, 2.192, 144.72, 127.82, 166.62, 5.41, 14.82, 14.76, 14.97, 0.0449, 0.337, 0.276, 0.491, 0.041, 991.0, 990.9, 991.1, 0.042, 77.15, 76.05, 77.86, 0.4249, 
2020-04-01 01:40:00, WM05, 7.6431, 6.4117, 8.5775, 0.3478, 7.5082, 6.4113, 8.5803, 0.3601, 6.5519, 5.4919, 7.6614, 0.4209, 4.9068, 3.0017, 6.4148, 0.5219, 3.6827, 2.3988, 5.4999, 0.5625, 147.02, 140.52, 154.72, 2.01, 143.82, 126.22, 157.42, 4.875, 14.91, 14.83, 15.03, 0.046, 0.559, 0.455, 0.67, 0.03, 991.0, 990.9, 991.1, 0.0473, 75.78, 75.1, 76.33, 0.2702, 
