Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-05-01 00:10:00, WM05, 6.7149, 6.1023, 7.3399, 0.2104, 6.7211, 6.1014, 7.3409, 0.2175, 6.2357, 5.8018, 7.0415, 0.2572, 5.3847, 4.5531, 6.7251, 0.4121, 4.0002, 3.0191, 5.1898, 0.4143, 289.62, 280.82, 298.22, 3.7, 293.02, 283.02, 305.62, 4.403, 14.95, 14.83, 15.17, 0.0838, 0.856, 0.67, 1.029, 0.068, 986.0, 985.8, 986.2, 0.067, 96.6, 95.7, 97.1, 0.4096, 
2020-05-01 00:20:00, WM05, 6.6345, 6.1023, 7.3399, 0.2834, 6.591, 5.7916, 7.3409, 0.2727, 5.9382, 5.4919, 6.4217, 0.2213, 5.1737, 4.8634, 5.7942, 0.1762, 3.9934, 3.3292, 4.5696, 0.2853, 275.22, 264.92, 282.92, 3.661, 278.82, 271.82, 285.92, 3.834, 14.86, 14.83, 15.03, 0.035, 0.95, 0.778, 1.137, 0.112, 986.1, 986.0, 986.3, 0.0441, 97.4, 96.9, 97.9, 0.2431, 
2020-05-01 00:30:00, WM05, 8.0639, 6.4117, 9.1963, 0.6776, 7.9978, 6.1014, 9.2, 0.686, 6.9734, 5.4919, 8.5912, 0.8411, 5.8501, 4.8634, 7.0354, 0.597, 4.4207, 3.0191, 6.1201, 0.5911, 266.12, 260.72, 280.82, 3.589, 267.62, 254.42, 283.02, 6.122, 15.05, 14.83, 15.31, 0.1366, 0.91, 0.778, 1.065, 0.071, 986.1, 986.0, 986.3, 0.0603, 97.8, 97.4, 98.3, 0.2232, 
2020-05-01 00:40:00, WM05, 8.5342, 7.6493, 9.5057, 0.3236, 8.4811, 7.6507, 9.5099, 0.3204, 7.649, 6.1118, 9.211, 0.5424, 6.1852, 4.5531, 7.3457, 0.5746, 4.6905, 3.3292, 6.1201, 0.539, 263.62, 259.22, 269.82, 1.909, 259.62, 246.42, 273.32, 4.46, 15.25, 15.17, 15.37, 0.0274, 0.915, 0.778, 1.101, 0.08, 986.2, 986.1, 986.4, 0.0539, 97.4, 96.9, 97.6, 0.1395, 
2020-05-01 00:50:00, WM05, 8.6518, 7.6493, 10.1245, 0.5743, 8.5989, 7.031, 10.1296, 0.5825, 8.0705, 7.0415, 9.8309, 0.5008, 6.7375, 5.484, 8.2765, 0.4685, 5.2766, 3.9494, 6.7403, 0.5737, 264.22, 257.62, 271.22, 2.881, 261.82, 248.12, 277.72, 3.877, 15.25, 15.17, 15.41, 0.0295, 0.579, 0.276, 0.85, 0.189, 986.4, 986.2, 986.6, 0.0745, 97.6, 97.1, 97.9, 0.1546, 
2020-05-01 01:00:00, WM05, 7.1357, 5.7929, 9.5057, 0.7184, 7.062, 5.7916, 9.5099, 0.7257, 6.2419, 4.5621, 8.5912, 0.8188, 5.1675, 3.6223, 7.3457, 0.7019, 4.2886, 2.709, 7.3605, 0.6574, 263.42, 246.32, 277.42, 5.453, 262.32, 245.42, 279.82, 5.704, 15.15, 14.97, 15.41, 0.0886, 0.193, -0.01, 0.312, 0.09, 986.7, 986.5, 986.8, 0.074, 97.9, 97.6, 98.4, 0.1696, 
2020-05-01 01:10:00, WM05, 7.5565, 5.1741, 8.8869, 0.6962, 7.4958, 5.7916, 8.8902, 0.6935, 6.4775, 4.5621, 8.2812, 0.6942, 5.0787, 3.6223, 6.7251, 0.6926, 4.0548, 2.709, 5.4999, 0.6475, 262.62, 250.12, 275.22, 3.077, 257.82, 243.42, 274.12, 4.838, 15.02, 14.9, 15.17, 0.0643, 0.27, 0.097, 0.348, 0.064, 986.8, 986.6, 986.9, 0.04, 98.8, 98.2, 99.2, 0.2387, 
2020-05-01 01:20:00, WM05, 8.1444, 7.0305, 10.1245, 0.4394, 8.0969, 7.031, 10.1296, 0.4357, 7.4382, 6.4217, 8.5912, 0.3521, 5.9804, 4.5531, 7.0354, 0.4536, 4.7352, 2.709, 6.4302, 0.5569, 264.92, 258.92, 271.42, 2.637, 264.52, 254.22, 276.82, 4.713, 15.19, 15.1, 15.31, 0.0311, 0.32, 0.276, 0.348, 0.032, 986.8, 986.6, 986.9, 0.0416, 99.1, 98.8, 99.5, 0.1672, 
2020-05-01 01:30:00, WM05, 7.6679, 6.4117, 9.5057, 0.4437, 7.6321, 6.4113, 9.2, 0.4239, 6.6758, 5.4919, 7.9713, 0.5021, 5.3474, 4.2428, 7.0354, 0.4934, 4.1181, 2.709, 5.4999, 0.4986, 272.42, 262.72, 280.82, 3.988, 276.72, 264.92, 285.22, 4.719, 15.2, 15.1, 15.31, 0.0382, 0.459, 0.348, 0.563, 0.093, 986.7, 986.6, 986.9, 0.0468, 99.5, 99.3, 99.7, 0.0914, 
2020-05-01 01:40:00, WM05, 7.309, 6.7211, 8.2681, 0.2816, 7.2789, 6.7211, 8.2704, 0.2851, 6.0002, 4.8721, 7.0415, 0.3775, 4.5612, 3.6223, 5.484, 0.3103, 3.5723, 2.3988, 4.5696, 0.3486, 277.52, 270.72, 283.62, 2.457, 281.42, 270.72, 291.52, 2.935, 15.14, 15.1, 15.27, 0.0429, 0.589, 0.527, 0.778, 0.054, 986.8, 986.6, 986.9, 0.0563, 99.8, 99.4, 100.0, 0.1575, 
2020-05-01 01:50:00, WM05, 7.0862, 5.4835, 8.2681, 0.4678, 7.062, 5.4817, 8.2704, 0.479, 5.9258, 4.2522, 7.0415, 0.5157, 4.6605, 3.312, 5.7942, 0.4468, 3.8148, 2.709, 4.8797, 0.4565, 278.32, 269.72, 292.62, 3.083, 281.92, 268.92, 297.52, 4.873, 15.18, 15.1, 15.24, 0.0257, 0.443, 0.276, 0.599, 0.095, 986.8, 986.6, 986.9, 0.064, 99.9, 99.5, 100.0, 0.1313, 
2020-05-01 02:00:00, WM05, 7.3894, 6.1023, 8.2681, 0.3707, 7.3409, 6.1014, 8.2704, 0.3786, 6.0994, 4.5621, 7.0415, 0.4705, 4.7722, 3.6223, 6.1045, 0.4263, 3.847, 2.709, 5.1898, 0.4571, 278.32, 272.12, 288.12, 2.594, 279.72, 261.12, 296.62, 3.922, 15.14, 15.03, 15.24, 0.0331, 0.403, 0.276, 0.563, 0.075, 986.7, 986.6, 986.8, 0.0605, 100.0, 99.8, 100.0, 0.0533, 
2020-05-01 02:10:00, WM05, 7.5441, 6.4117, 8.2681, 0.3032, 7.5144, 6.4113, 8.2704, 0.3006, 6.4589, 5.4919, 7.3515, 0.3533, 5.2916, 4.5531, 6.4148, 0.368, 4.239, 3.3292, 5.1898, 0.3634, 278.42, 271.22, 284.12, 1.962, 276.22, 267.82, 285.22, 2.602, 15.15, 15.1, 15.24, 0.0315, 0.421, 0.276, 0.563, 0.077, 986.7, 986.6, 986.8, 0.0525, 100.0, 99.9, 100.0, 0.0213, 
2020-05-01 02:20:00, WM05, 7.5998, 6.7211, 8.5775, 0.3459, 7.5702, 6.7211, 8.5803, 0.3303, 6.7936, 6.1118, 7.6614, 0.3037, 5.7012, 5.1737, 6.4148, 0.2768, 4.5336, 3.0191, 5.4999, 0.4279, 277.82, 272.92, 284.12, 2.047, 276.12, 268.92, 283.02, 2.068, 15.09, 14.97, 15.24, 0.0497, 0.3, 0.276, 0.419, 0.039, 986.7, 986.6, 986.8, 0.0438, 100.0, 99.9, 100.0, 0.0164, 
2020-05-01 02:30:00, WM05, 7.5998, 6.7211, 8.2681, 0.2865, 7.5764, 6.7211, 8.2704, 0.2845, 6.7626, 6.1118, 7.6614, 0.2765, 5.8315, 4.8634, 6.7251, 0.2668, 4.5528, 3.0191, 5.4999, 0.4788, 275.82, 270.02, 280.32, 1.703, 272.72, 262.62, 281.02, 2.286, 14.99, 14.9, 15.1, 0.0322, 0.3, 0.276, 0.455, 0.036, 986.7, 986.6, 986.8, 0.0508, 100.0, 99.9, 100.0, 0.0318, 
2020-05-01 02:40:00, WM05, 7.5565, 6.7211, 8.5775, 0.3261, 7.5144, 6.7211, 8.2704, 0.3136, 6.6448, 5.4919, 7.3515, 0.3595, 5.4778, 4.8634, 6.7251, 0.3351, 4.3122, 3.3292, 5.1898, 0.343, 271.82, 266.92, 278.02, 1.835, 271.22, 263.72, 275.52, 2.196, 14.97, 14.86, 15.03, 0.0208, 0.484, 0.276, 0.563, 0.092, 986.7, 986.6, 986.8, 0.0489, 99.9, 99.8, 100.0, 0.0676, 
2020-05-01 02:50:00, WM05, 7.8102, 7.0305, 8.5775, 0.2785, 7.7809, 7.031, 8.5803, 0.2888, 6.9176, 6.1118, 7.6614, 0.287, 5.8749, 5.1737, 6.7251, 0.301, 4.4381, 3.0191, 5.81, 0.4038, 275.52, 269.72, 283.62, 2.087, 272.72, 262.32, 283.42, 2.999, 14.96, 14.86, 15.03, 0.0271, 0.487, 0.348, 0.563, 0.062, 986.6, 986.5, 986.7, 0.04, 99.7, 99.3, 100.0, 0.1935, 
