Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2021-12-01 00:10:00, WM05, 7.1497, 6.4059, 7.9555, 0.3508, 7.122, 6.1065, 7.9642, 0.3536, 6.2543, 5.182, 7.3515, 0.3973, 4.8491, 3.312, 6.4148, 0.5362, 3.9091, 2.3988, 5.4999, 0.5439, 84.62, 77.82, 91.42, 2.293, 81.02, 67.22, 95.72, 4.718, 13.67, 13.57, 13.77, 0.024, 0.001, -0.046, 0.133, 0.03, 983.5, 983.4, 983.7, 0.0682, 92.9, 92.6, 93.2, 0.1434, 
2021-12-01 00:20:00, WM05, 6.9637, 6.096, 8.2654, 0.3589, 6.9424, 6.1065, 8.5834, 0.353, 6.0746, 4.8721, 7.0415, 0.3446, 4.8137, 3.6223, 5.7942, 0.3916, 3.6994, 2.3988, 4.6328, 0.4571, 87.22, 80.22, 95.92, 2.019, 83.82, 70.72, 96.12, 4.317, 13.69, 13.57, 13.84, 0.0513, 0.174, -0.01, 0.24, 0.049, 983.4, 983.3, 983.6, 0.0763, 92.9, 92.4, 93.9, 0.4228, 
2021-12-01 00:30:00, WM05, 7.0753, 6.096, 8.2654, 0.5386, 7.0539, 6.1065, 8.2738, 0.5344, 6.3411, 5.4919, 7.6614, 0.4172, 4.9856, 3.312, 6.4148, 0.4567, 3.7168, 2.3988, 5.4999, 0.5154, 83.52, 77.72, 88.52, 2.501, 80.32, 65.62, 91.02, 4.017, 13.52, 13.44, 13.64, 0.0474, 0.197, -0.01, 0.384, 0.079, 983.3, 983.1, 983.4, 0.0587, 94.0, 92.5, 94.4, 0.4156, 
2021-12-01 00:40:00, WM05, 7.7757, 7.3356, 8.2654, 0.2622, 7.7908, 7.3449, 8.5834, 0.2564, 7.0043, 6.4217, 7.9713, 0.2653, 5.484, 4.2428, 6.4148, 0.4145, 4.2799, 2.709, 5.4999, 0.5346, 80.62, 76.52, 83.82, 1.034, 79.42, 60.72, 90.82, 4.52, 13.76, 13.54, 13.88, 0.0753, 0.526, 0.348, 0.563, 0.071, 983.1, 982.9, 983.3, 0.0711, 90.8, 90.1, 92.5, 0.7001, 
2021-12-01 00:50:00, WM05, 7.4162, 7.0257, 7.9555, 0.1674, 7.4193, 7.0353, 7.9642, 0.1728, 6.7812, 6.4217, 7.6614, 0.2169, 5.304, 3.6223, 6.4148, 0.476, 4.0002, 2.3988, 5.1898, 0.5222, 85.82, 82.32, 89.62, 1.695, 88.92, 75.82, 104.02, 4.995, 13.74, 13.64, 13.88, 0.0469, 0.562, 0.527, 0.563, 0.005, 982.9, 982.7, 983.1, 0.0734, 90.9, 90.2, 91.6, 0.355, 
2021-12-01 01:00:00, WM05, 7.9121, 7.3356, 8.5753, 0.1891, 7.9023, 7.3449, 8.5834, 0.1982, 7.0973, 6.4217, 7.6614, 0.2231, 5.4095, 4.2428, 6.4148, 0.4238, 4.092, 2.709, 5.4999, 0.5042, 82.52, 79.62, 85.62, 0.946, 86.62, 73.42, 103.22, 4.076, 13.82, 13.67, 13.95, 0.0671, 0.764, 0.563, 0.85, 0.099, 982.7, 982.5, 982.9, 0.0662, 89.3, 88.8, 90.9, 0.5775, 
2021-12-01 01:10:00, WM05, 8.2716, 7.9555, 8.8852, 0.2176, 8.2552, 7.6546, 8.893, 0.2112, 7.4258, 6.7316, 7.9713, 0.2194, 5.4095, 3.9325, 6.1045, 0.3637, 3.9233, 2.3988, 4.8797, 0.4633, 82.72, 80.82, 86.02, 1.004, 83.52, 68.42, 97.52, 3.568, 13.88, 13.74, 13.98, 0.0338, 0.874, 0.814, 0.957, 0.033, 982.5, 982.3, 982.7, 0.0632, 88.1, 87.5, 89.0, 0.4562, 
2021-12-01 01:20:00, WM05, 8.346, 7.6456, 8.8852, 0.2157, 8.3295, 7.6546, 8.893, 0.2149, 7.4444, 6.7316, 7.9713, 0.23, 5.7074, 4.5531, 6.4148, 0.3208, 4.0846, 2.709, 5.1898, 0.4534, 85.22, 82.62, 86.92, 0.683, 85.92, 75.62, 94.02, 3.003, 13.89, 13.78, 14.01, 0.0265, 0.868, 0.85, 0.922, 0.03, 982.4, 982.2, 982.5, 0.0469, 87.7, 87.5, 88.0, 0.1041, 
2021-12-01 01:30:00, WM05, 8.1662, 7.6456, 8.5753, 0.2021, 8.1438, 7.6546, 8.5834, 0.1932, 7.1841, 6.4217, 7.6614, 0.256, 5.6267, 4.2428, 6.4148, 0.3326, 4.0902, 2.709, 5.1898, 0.4571, 83.62, 80.82, 87.22, 1.005, 84.32, 73.12, 97.02, 3.018, 13.84, 13.74, 13.95, 0.0331, 0.764, 0.599, 0.85, 0.058, 982.3, 982.1, 982.4, 0.0637, 88.2, 87.8, 89.2, 0.4302, 
2021-12-01 01:40:00, WM05, 7.8935, 7.3356, 8.2654, 0.1804, 7.8837, 7.3449, 8.2738, 0.1951, 6.8928, 6.1118, 7.6614, 0.2659, 5.4778, 4.2428, 6.4148, 0.4108, 4.0455, 2.3988, 5.1898, 0.4769, 81.32, 78.42, 87.02, 0.945, 85.72, 74.72, 95.82, 3.587, 13.82, 13.74, 13.88, 0.0247, 0.641, 0.563, 0.778, 0.064, 982.2, 982.0, 982.3, 0.0545, 90.2, 89.1, 90.8, 0.4866, 
